[ INF ] Constructed projectionCL 
[ DEB ] 718.856 0 607.193 0 
[ DEB ] 0 718.856 185.216 0 
[ DEB ] 0 0 1 0 
[ INF ] Constructed projectionCR 
[ DEB ] 718.856 0 607.193 -386.145 
[ DEB ] 0 718.856 185.216 0 
[ DEB ] 0 0 1 0 
[ INF ] Constructed qMat 
[ DEB ] 1 0 0 -607.193 
[ DEB ] 0 1 0 -185.216 
[ DEB ] 0 0 0 718.856 
[ DEB ] 0 0 -1.86162 0 
[ INF ] Constructed ground truth trajectory 4541 
[ INF ] Computed disparity map 3 
[ INF ] Computed true disparity map 5 
[ INF ] Computed depth map 718.856 0.537166 4.06468 3861.45 
[ DEB ] Computed histogram 
[ DEB ] 4 27767 
[ DEB ] 5 4246 
[ DEB ] 6 12411 
[ DEB ] 7 40974 
[ DEB ] 8 15906 
[ DEB ] 9 19193 
[ DEB ] 10 17562 
[ DEB ] 11 9502 
[ DEB ] 12 16332 
[ DEB ] 13 10493 
[ DEB ] 14 18938 
[ DEB ] 15 24800 
[ DEB ] 16 24942 
[ DEB ] 17 12711 
[ DEB ] 18 6555 
[ DEB ] 19 2473 
[ DEB ] 20 3133 
[ DEB ] 21 3609 
[ DEB ] 22 27498 
[ DEB ] 23 5734 
[ DEB ] 24 6506 
[ DEB ] 25 3096 
[ DEB ] 26 3053 
[ DEB ] 27 11243 
[ DEB ] 28 2284 
[ DEB ] 29 5861 
[ DEB ] 30 2310 
[ DEB ] 31 2547 
[ DEB ] 32 3823 
[ DEB ] 33 1221 
[ DEB ] 34 2533 
[ DEB ] 35 3484 
[ DEB ] 36 409 
[ DEB ] 37 807 
[ DEB ] 38 2238 
[ DEB ] 39 1319 
[ DEB ] 40 731 
[ DEB ] 41 927 
[ DEB ] 42 2917 
[ DEB ] 43 432 
[ DEB ] 44 172 
[ DEB ] 45 92 
[ DEB ] 46 133 
[ DEB ] 47 359 
[ DEB ] 48 810 
[ DEB ] 49 392 
[ DEB ] 50 175 
[ DEB ] 51 260 
[ DEB ] 52 433 
[ DEB ] 53 373 
[ DEB ] 54 323 
[ DEB ] 55 509 
[ DEB ] 56 297 
[ DEB ] 57 223 
[ DEB ] 58 88 
[ DEB ] 59 92 
[ DEB ] 60 91 
[ DEB ] 61 224 
[ DEB ] 62 144 
[ DEB ] 63 275 
[ DEB ] 64 604 
[ DEB ] 65 417 
[ DEB ] 66 149 
[ DEB ] 67 215 
[ DEB ] 68 85 
[ DEB ] 69 40 
[ DEB ] 70 23 
[ DEB ] 71 165 
[ DEB ] 72 112 
[ DEB ] 73 167 
[ DEB ] 74 221 
[ DEB ] 75 302 
[ DEB ] 76 300 
[ DEB ] 77 478 
[ DEB ] 78 181 
[ DEB ] 79 145 
[ DEB ] 80 81 
[ DEB ] 81 104 
[ DEB ] 82 76 
[ DEB ] 83 55 
[ DEB ] 84 15 
[ DEB ] 85 8 
[ DEB ] 87 27 
[ DEB ] 88 53 
[ DEB ] 89 79 
[ DEB ] 90 93 
[ DEB ] 92 79 
[ DEB ] 93 88 
[ DEB ] 95 80 
[ DEB ] 96 586 
[ DEB ] 98 518 
[ DEB ] 99 323 
[ DEB ] 101 194 
[ DEB ] 102 141 
[ DEB ] 104 95 
[ DEB ] 106 87 
[ DEB ] 108 51 
[ DEB ] 110 58 
[ DEB ] 112 129 
[ DEB ] 114 125 
[ DEB ] 116 137 
[ DEB ] 118 144 
[ DEB ] 121 155 
[ DEB ] 123 184 
[ DEB ] 126 173 
[ DEB ] 128 513 
[ DEB ] 131 202 
[ DEB ] 134 221 
[ DEB ] 137 193 
[ DEB ] 140 129 
[ DEB ] 143 96 
[ DEB ] 147 87 
[ DEB ] 150 37 
[ DEB ] 154 33 
[ DEB ] 158 66 
[ DEB ] 162 90 
[ DEB ] 166 105 
[ DEB ] 171 129 
[ DEB ] 176 88 
[ DEB ] 181 66 
[ DEB ] 187 82 
[ DEB ] 193 161 
[ DEB ] 199 41 
[ DEB ] 205 71 
[ DEB ] 213 70 
[ DEB ] 220 92 
[ DEB ] 228 92 
